City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,clyde river,70.4692,-68.5914,-35.87,68,75,2.57,CA,1675914935
1,arraial do cabo,-22.9661,-42.0278,23.92,88,75,1.54,BR,1675914859
2,vostok,46.4856,135.8833,-18.12,81,90,4.47,RU,1675914952
3,bredasdorp,-34.5322,20.0403,18.06,83,1,3.91,ZA,1675914823
4,tianpeng,30.9866,103.9393,11.26,78,100,1.71,CN,1675914952
5,buraydah,26.326,43.975,8.25,40,100,2.58,SA,1675914952
6,ucluelet,48.9329,-125.5528,4.8,95,100,5.89,CA,1675914953
7,atuona,-9.8,-139.0333,26.22,79,46,10.06,PF,1675914826
8,mataura,-46.1927,168.8643,13.04,62,87,3.91,NZ,1675914639
9,labuhan,-6.8844,112.2051,28.65,76,93,5.44,ID,1675914874
10,manaure,11.7751,-72.4445,25.42,76,55,8.37,CO,1675914953
11,conde,-7.2597,-34.9075,24.7,88,20,2.06,BR,1675914743
12,chake chake,-5.2459,39.7666,26.02,80,100,2.65,TZ,1675914954
13,asfi,32.2994,-9.2372,13.17,78,29,4.54,MA,1675914954
14,albany,42.6001,-73.9662,0.88,80,81,1.23,US,1675914817
15,chokurdakh,70.6333,147.9167,-31.94,96,100,2.44,RU,1675914820
16,busselton,-33.65,115.3333,27.94,35,0,1.3,AU,1675914656
17,oranjestad,12.524,-70.027,26.06,81,20,7.72,AW,1675914932
18,nome,64.5011,-165.4064,-17.96,78,100,3.09,US,1675914767
19,vaini,-21.2,-175.2,29.09,79,75,2.06,TO,1675914653
20,dingle,10.9995,122.6711,27.8,72,97,7.12,PH,1675914884
21,flin flon,54.7682,-101.865,-18.49,98,27,2.38,CA,1675914940
22,ushuaia,-54.8,-68.3,9.81,87,20,4.12,AR,1675914821
23,manzhouli,49.6,117.4333,-18.18,95,100,1.84,CN,1675914955
24,rocha,-34.4833,-54.3333,20.91,81,20,3.47,UY,1675914867
25,faya,18.3851,42.4509,8.29,60,39,1.73,SA,1675914940
26,gua musang,4.8823,101.9644,28.56,68,100,0.75,MY,1675914955
27,leningradskiy,69.3833,178.4167,-27.68,97,100,2.55,RU,1675914888
28,baiao,-2.7906,-49.6717,22.17,100,96,1.09,BR,1675914956
29,sechura,-5.5569,-80.8222,24.57,74,75,3.9,PE,1675914910
30,trumbull,41.3167,-80.7665,5.61,61,100,3.6,US,1675914956
31,hasaki,35.7333,140.8333,11.27,37,8,7.94,JP,1675914831
32,ekhabi,53.5102,142.9671,-26.79,91,94,7.18,RU,1675914956
33,rosetta,31.4044,30.4164,11.13,57,46,4.62,EG,1675914957
34,avarua,-21.2078,-159.775,28.03,74,40,5.66,CK,1675914638
35,lompoc,34.6391,-120.4579,13.11,81,0,4.12,US,1675914852
36,mahebourg,-20.4081,57.7,27.36,83,75,5.14,MU,1675914756
37,namatanai,-3.6667,152.4333,28.25,72,98,3.14,PG,1675914875
38,puerto ayora,-0.7393,-90.3518,26.42,92,75,2.68,EC,1675914659
39,hermanus,-34.4187,19.2345,19.89,83,76,5.1,ZA,1675914840
40,isangel,-19.55,169.2667,27.06,89,100,4.12,VU,1675914826
41,punta arenas,-53.15,-70.9167,9.06,71,0,3.6,CL,1675914614
42,rikitea,-23.1203,-134.9692,26.75,73,4,6.4,PF,1675914650
43,jamestown,42.097,-79.2353,-0.2,92,0,2.57,US,1675914833
44,lumeje,-11.55,20.7833,16.37,96,100,2.41,AO,1675914958
45,akyab,20.15,92.9,24.26,41,33,1.91,MM,1675914882
46,avallon,47.4833,3.9,-2.13,81,0,1.28,FR,1675914958
47,mar del plata,-38.0023,-57.5575,20.01,92,0,1.54,AR,1675914831
48,sibolga,1.7427,98.7792,29.86,56,65,2.02,ID,1675914884
49,nikolskoye,59.7035,30.7861,1.94,93,100,4.63,RU,1675914646
50,port alfred,-33.5906,26.891,19.54,98,100,1.63,ZA,1675914626
51,wellington,-41.2866,174.7756,19.2,64,15,8.23,NZ,1675914417
52,cidreira,-30.1811,-50.2056,24.49,83,24,8.46,BR,1675914909
53,comitan,16.25,-92.1333,14.49,86,4,3.1,MX,1675914959
54,new norfolk,-42.7826,147.0587,22.17,40,98,0.89,AU,1675914833
55,sola,-13.8833,167.55,31.37,70,75,1.54,VU,1675914959
56,brae,60.3964,-1.353,4.66,68,99,15.07,GB,1675914960
57,los llanos de aridane,28.6585,-17.9182,13.86,73,100,2.57,ES,1675914960
58,castro,-24.7911,-50.0119,16.21,95,12,2.39,BR,1675914888
59,damietta,31.4165,31.8133,7.94,56,14,3.94,EG,1675914960
60,hilo,19.7297,-155.09,24.85,73,75,4.63,US,1675914807
61,arkhipo-osipovka,44.37,38.52,-4.47,82,42,9.81,RU,1675914961
62,airai,-8.9266,125.4092,20.65,77,98,1.88,TL,1675914824
63,aklavik,68.2191,-135.0107,-34.01,99,95,1.53,CA,1675914883
64,chaibasa,22.5667,85.8167,20.49,24,15,2.46,IN,1675914962
65,kavaratti,10.5669,72.642,26.36,70,100,1.73,IN,1675914927
66,lukow,51.929,22.3796,-7.26,90,90,2.56,PL,1675914560
67,sokolow podlaski,52.4068,22.2531,-5.22,88,97,2.79,PL,1675914963
68,georgetown,5.4112,100.3354,28.96,83,20,2.06,MY,1675914934
69,hithadhoo,-0.6,73.0833,27.54,72,77,4.35,MV,1675914828
70,kapaa,22.0752,-159.319,26.99,72,0,8.75,US,1675914822
71,kismayo,-0.3582,42.5454,25.12,83,2,5.43,SO,1675914964
72,ribeira grande,38.5167,-28.7,11.54,80,28,4.02,PT,1675914660
73,bluff,-46.6,168.3333,13.22,56,77,8.33,NZ,1675914833
74,lavrentiya,65.5833,-171.0,-24.44,97,100,1.12,RU,1675914827
75,carnarvon,-24.8667,113.6333,30.79,53,63,6.73,AU,1675914895
76,makat,47.6469,53.3463,-14.95,89,6,2.94,KZ,1675914965
77,ayorou,14.7308,0.9174,22.47,14,6,4.49,NE,1675914967
78,hobart,-42.8794,147.3294,22.37,56,75,5.66,AU,1675914823
79,bull savanna,17.8868,-77.5902,21.8,82,0,3.13,JM,1675914968
80,davila,18.4726,120.5763,28.99,62,18,2.55,PH,1675914969
81,neuquen,-38.9516,-68.0591,27.94,36,0,1.03,AR,1675914626
82,tuktoyaktuk,69.4541,-133.0374,-37.0,74,20,1.54,CA,1675914832
83,torbay,47.6666,-52.7314,-1.45,96,100,6.69,CA,1675914839
84,egvekinot,66.3167,-179.1667,-25.95,96,100,2.14,RU,1675914734
85,kieta,-6.2167,155.6333,29.23,70,100,3.18,PG,1675914952
86,kaitangata,-46.2817,169.8464,14.06,53,83,4.58,NZ,1675914877
87,shingu,33.7333,135.9833,11.72,34,56,1.57,JP,1675914937
88,ilulissat,69.2167,-51.1,-21.99,64,20,2.06,GL,1675914835
89,taihe,30.8712,105.3845,10.88,75,100,1.45,CN,1675914971
90,algeciras,36.1333,-5.4505,14.82,72,100,10.8,ES,1675914971
