City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,60.49,71,100,15.03,AU,1686624694
1,bayan,46.0833,127.4,78.3,46,5,1.54,CN,1686624694
2,rikitea,-23.1203,-134.9692,71.98,65,8,6.13,PF,1686624694
3,nelson bay,-32.7167,152.15,63.0,82,100,8.99,AU,1686624694
4,neuquen,-38.9516,-68.0591,30.09,86,0,0.0,AR,1686624694
5,road town,18.4167,-64.6167,82.49,78,11,22.35,VG,1686624694
6,ushuaia,-54.8,-68.3,40.66,75,20,24.16,AR,1686624694
7,mar del plata,-38.0023,-57.5575,44.1,90,40,4.0,AR,1686624694
8,minsk,53.9,27.5667,53.35,77,100,7.49,BY,1686624694
9,saurimo,-9.6608,20.3916,60.15,43,46,4.41,AO,1686624694
10,cherskiy,68.75,161.3,39.56,68,100,20.58,RU,1686624695
11,ancud,-41.8697,-73.8203,40.14,90,61,5.84,CL,1686624695
12,hermanus,-34.4187,19.2345,59.81,88,100,30.96,ZA,1686624695
13,coihaique,-45.5752,-72.0662,30.81,100,95,2.3,CL,1686624497
14,thompson,55.7435,-97.8558,46.56,81,100,11.5,CA,1686624695
15,den helder,52.9599,4.7593,64.94,72,9,7.0,NL,1686624695
16,grand gaube,-20.0064,57.6608,74.37,78,9,11.72,MU,1686624695
17,menongue,-14.6585,17.691,50.22,47,2,2.62,AO,1686624695
18,khatanga,71.9667,102.5,57.74,51,100,6.17,RU,1686624695
19,egvekinot,66.3167,-179.1667,40.68,80,98,6.69,RU,1686624695
20,mataura,-46.1927,168.8643,52.12,89,66,0.92,NZ,1686624695
21,ilulissat,69.2167,-51.1,35.62,75,75,0.0,GL,1686624695
22,east london,-33.0153,27.9116,62.04,44,93,21.18,ZA,1686624696
23,bluff,-46.6,168.3333,52.68,82,78,7.45,NZ,1686624696
24,esperance,-33.8667,121.9,60.64,70,21,17.13,AU,1686624696
25,butaritari,3.0707,172.7902,82.76,77,100,10.38,KI,1686624696
26,bay roberts,47.5999,-53.2648,47.14,94,100,7.0,CA,1686624696
27,norman wells,65.282,-126.8329,53.64,76,75,12.66,CA,1686624696
28,cayenne,4.9333,-52.3333,77.04,94,0,1.14,GF,1686624462
29,tiksi,71.6872,128.8694,36.97,96,100,6.93,RU,1686624696
30,fukue,32.6881,128.8419,73.76,94,75,6.91,JP,1686624696
31,bilibino,68.0546,166.4372,44.69,89,100,12.86,RU,1686624399
32,jamestown,42.097,-79.2353,56.79,79,100,9.22,US,1686624595
33,chokurdakh,70.6333,147.9167,40.93,45,100,19.37,RU,1686624697
34,burnie,-41.0667,145.9167,55.45,91,100,12.95,AU,1686624697
35,hithadhoo,-0.6,73.0833,83.8,70,69,8.28,MV,1686624697
36,los llanos de aridane,28.6585,-17.9182,67.75,86,100,6.91,ES,1686624697
37,lebu,-37.6167,-73.65,46.04,70,0,13.71,CL,1686624697
38,atuona,-9.8,-139.0333,80.74,73,39,20.56,PF,1686624697
39,aklavik,68.2191,-135.0107,69.51,41,100,5.93,CA,1686624697
40,thinadhoo,0.5333,72.9333,83.77,72,12,9.57,MV,1686624697
41,salinopolis,-0.6136,-47.3561,79.39,85,100,11.92,BR,1686624697
42,ribeira grande,38.5167,-28.7,66.78,97,10,3.0,PT,1686624697
43,svetlaya,46.5389,138.3297,54.95,81,100,8.14,RU,1686624416
44,saint-philippe,-21.3585,55.7679,71.19,74,0,4.32,RE,1686624698
45,albany,42.6001,-73.9662,68.92,81,100,3.0,US,1686624416
46,carnarvon,-24.8667,113.6333,66.43,31,0,15.28,AU,1686624698
47,marsh harbour,26.5412,-77.0636,80.94,79,36,9.15,BS,1686624496
48,bethel,41.3712,-73.414,66.54,89,100,4.61,US,1686624581
49,volokolamsk,56.0336,35.9694,49.53,73,0,5.5,RU,1686624698
50,high prairie,55.4334,-116.4858,68.56,73,100,3.18,CA,1686624698
51,boa vista,2.8197,-60.6733,78.78,89,40,3.44,BR,1686624698
52,tiznit,29.5833,-9.5,62.65,86,90,6.11,MA,1686624698
53,mitsamiouli,-11.3847,43.2844,76.78,65,0,5.91,KM,1686624698
54,cape town,-33.9258,18.4232,60.39,80,75,16.11,ZA,1686624698
55,iqaluit,63.7506,-68.5145,33.53,69,75,10.36,CA,1686624698
56,longyearbyen,78.2186,15.6401,37.24,75,75,11.5,SJ,1686624699
57,bathsheba,13.2167,-59.5167,81.21,89,75,9.22,BB,1686624699
58,marawi,7.9986,124.2928,83.86,59,38,3.83,PH,1686624699
59,kapaa,22.0752,-159.319,82.38,80,20,14.97,US,1686624699
60,bredasdorp,-34.5322,20.0403,57.54,75,78,23.62,ZA,1686624699
61,padang,-0.9492,100.3543,86.05,66,81,2.33,ID,1686624699
62,barrow,71.2906,-156.7887,44.62,76,0,9.22,US,1686624699
63,jawhar,2.7809,45.5005,74.75,91,46,10.51,SO,1686624699
64,hofn,64.2539,-15.2082,45.66,86,80,5.66,IS,1686624699
65,seminole,28.7086,-81.2081,84.56,75,0,6.91,US,1686624699
66,cervo,43.6702,-7.4101,61.09,94,100,5.26,ES,1686624699
67,san-pedro,4.7485,-6.6363,77.63,78,87,7.11,CI,1686624700
68,olinda,-8.0089,-34.8553,80.33,78,75,6.91,BR,1686624558
69,coahuayana,18.7333,-103.6833,76.86,84,11,1.07,MX,1686624700
70,tuktoyaktuk,69.4541,-133.0374,64.4,52,75,9.22,CA,1686624700
71,santiago del estero,-27.7951,-64.2615,52.72,36,100,3.09,AR,1686624700
72,nalut,30.3333,10.85,76.69,33,0,17.38,LY,1686624700
73,punta arenas,-53.15,-70.9167,42.91,70,20,13.8,CL,1686624700
74,vaini,-21.2,-175.2,73.56,78,75,1.14,TO,1686624700
75,lompoc,34.6391,-120.4579,64.78,83,0,6.91,US,1686624700
76,husavik,66.0449,-17.3389,48.36,74,30,3.0,IS,1686624700
77,nixa,37.0434,-93.2944,63.14,79,4,4.38,US,1686624700
78,kaitangata,-46.2817,169.8464,53.2,76,34,4.0,NZ,1686624700
79,souillac,-20.5167,57.5167,73.78,94,40,4.61,MU,1686624701
80,kyren,51.6828,102.1408,62.01,93,100,4.76,RU,1686624701
81,upernavik,72.7868,-56.1549,30.81,96,100,37.42,GL,1686624701
82,mina,26.0011,-100.5299,91.22,38,0,9.62,MX,1686624701
83,ferrol,43.4832,-8.2369,61.68,68,100,3.96,ES,1686624701
84,iranshahr,27.2025,60.6848,91.74,29,2,4.61,IR,1686624701
85,vestmannaeyjar,63.4427,-20.2734,46.47,84,5,10.49,IS,1686624701
86,yulara,-25.2406,130.9889,59.43,27,1,8.68,AU,1686624422
87,quang ngai,15.1167,108.8,88.83,59,100,1.59,VN,1686624701
88,gat,31.61,34.7642,68.68,75,0,3.36,IL,1686624701
89,avarua,-21.2078,-159.775,78.85,83,20,17.27,CK,1686624701
90,geraldton,-28.7667,114.6,63.01,55,0,13.8,AU,1686624701
91,prince rupert,54.3161,-130.3201,56.89,84,100,18.41,CA,1686624606
92,akita,39.7167,140.1167,79.74,65,75,6.91,JP,1686624702
93,maceio,-9.6658,-35.7353,74.64,100,75,5.75,BR,1686624488
94,hohhot,40.8106,111.6522,77.29,25,0,2.24,CN,1686624702
95,yingcheng,30.95,113.55,82.89,56,94,4.38,CN,1686624702
96,karatau,43.1667,70.4667,72.5,21,100,5.84,KZ,1686624702
97,quesnel,52.9999,-122.5029,82.9,26,0,5.75,CA,1686624608
98,dingle,10.9995,122.6711,89.1,63,100,7.09,PH,1686624702
99,meulaboh,4.1363,96.1285,84.49,67,60,1.92,ID,1686624702
100,kenitra,34.261,-6.5802,66.96,85,83,5.55,MA,1686624702
101,new norfolk,-42.7826,147.0587,56.7,77,94,3.06,AU,1686624702
102,tachov,49.7953,12.6337,50.4,76,0,3.31,CZ,1686624485
103,flinders,-34.5833,150.8552,71.06,61,49,5.99,AU,1686624702
104,tayoltita,24.0833,-105.9333,72.72,50,2,2.46,MX,1686624703
